"","m","impact.wave1","events.wave1","ee_concerns.wave1","country","impact.wave2","energy_price","percent_energy","gas_price","percent_gas","ee_concerns.wave2","events.wave2","n","ee_concerns.diff","impact.diff"
"131",229242450002154,2,3489,4,"Switzerland",3,2,20,2,20,6,348922,1,-2,-1
"132",229242450002158,4,3489,5,"Germany",4,2,25,2,20,4,48922,1,1,0
"133",229242450008195,4,48,2,"Switzerland",4,3,NA,4,10,3,822,1,-1,0
"134",229242450009233,3,4,4,"Switzerland",3,2,10,2,20,3,3422,1,1,0
"135",229242450013428,3,11,6,"Switzerland",3,2,4,2,4,4,3,1,2,0
"136",229242450014215,3,34810,5,"Switzerland",3,3,NA,3,NA,4,348922,1,1,0
"137",229242450017359,2,3456,6,"Switzerland",3,2,5,2,12,4,822,1,2,-1
"138",229242450019449,4,4,5,"Switzerland",3,2,30,2,30,5,48,1,0,1
"139",229242450025714,3,411,4,"Switzerland",3,2,20,2,3,4,48922,1,0,0
"140",229242450029643,3,348,4,"Switzerland",4,2,60,2,70,5,4822,1,-1,-1
"141",229242450030694,4,4,5,"Switzerland",4,2,12,2,15,5,348,1,0,0
"142",229242450031736,5,14,5,"Germany",5,2,30,2,20,6,134,1,-1,0
"143",229242450035926,2,48,4,"Switzerland",3,2,20,2,30,4,4,1,0,-1
"144",229255657928942,3,49,6,"Germany",3,4,15,4,10,6,202148922,1,0,0
"145",229255657930998,3,48,5,"Germany",3,3,NA,3,NA,5,48,1,0,0
"146",229255657931005,3,8,5,"Germany",4,3,NA,3,NA,4,21,1,1,-1
"147",229255657931781,2,4,6,"Germany",2,2,25,2,100,5,204822,1,1,0
"148",229255657931784,3,8,5,"Germany",3,2,6,2,15,5,204,1,0,0
"149",229255657932820,2,34,5,"Germany",3,3,NA,3,NA,4,320214822,1,1,-1
"150",229255657932824,2,4,6,"Germany",1,4,10,4,20,6,489,1,0,1
"151",229255657932828,3,3489,4,"Germany",3,3,NA,3,NA,5,3202148922,1,-1,0
"152",229255657933879,3,34,4,"Germany",2,2,60,2,50,5,320214822,1,-1,1
"153",229255657934918,2,3489,6,"Germany",3,2,13,2,15,6,34,1,0,-1
"154",229255657935968,3,48,5,"Germany",3,2,10,2,40,4,4,1,1,0
"155",229255657936996,3,34,4,"Germany",4,2,10,2,10,4,348,1,0,-1
"156",229255657936997,3,11,2,"Germany",2,3,NA,3,NA,4,11,1,-2,1
"157",229255657937001,2,11,5,"Germany",2,3,NA,2,25,6,11,1,-1,0
"158",229255657938040,3,48,5,"Germany",3,3,NA,3,NA,5,202148,1,0,0
"159",229255657938043,2,348,6,"Germany",2,2,100,3,NA,5,320214822,1,1,0
"160",229255657939091,4,34,3,"Germany",4,2,10,2,15,5,32148,1,-2,0
"161",229255657939099,4,11,2,"Germany",4,3,NA,3,NA,2,11,1,0,0
"162",229255657940131,3,4,4,"Germany",2,2,2,2,10,3,32048,1,1,1
