Gemeinde;Preise2023
Dörflingen ;24,4
Dornach ;31,31
Dottikon ;31,53
Dottikon ;25,13
Döttingen ;25,13
Dotzigen ;25,5
Dozwil ;23,86
Drei Höfe ;25,1
Dübendorf ;26,19
Düdingen ;25,35
Duggingen ;31,31
Duillier ;25,98
Dulliken ;31,87
Dully ;31,56
Dürnten ;23,77
Dürnten ;21,88
Dürrenäsch ;29,33
Dürrenroth ;25,5
Ebikon ;28,85
Ebnat-Kappel ;26,07
Echallens ;31,56
Echandens ;31,56
Echarlens ;28,62
Echichens ;31,56
Eclépens ;32,26
Ecublens (FR) ;25,35
Ecublens (VD) ;37,5
Ederswiler ;25,5
Egerkingen ;18,89
Egg ;21,88
Eggenwil ;24,73
Eggerberg ;24,69
Eggersriet ;22,09
Eggiwil ;25,5
Eglisau ;21,88
Egliswil ;31,94
Egnach ;21,84
Egnach ;21,21
Egnach ;23,6
Egolzwil ;28,85
Ehrendingen ;35,55
Eich ;28,85
Eichberg ;25,55
Eiken ;25,13
Einsiedeln ;22,53
Eischoll ;22,84
Eisten ;25,66
Elgg ;21,88
Ellikon an der Thur ;21,88
Elsau ;24,39
Elsau ;24,59
Elsau ;21,88
Embd ;27,36
Embd ;28,93
Embrach ;21,88
Emmen ;28,8
Emmetten ;19,56
Endingen ;25,13
Engelberg ;29,77
Enges ;26,95
Ennetbaden ;26,06
Ennetbürgen ;19,56
Ennetmoos ;19,56
Entlebuch ;28,85
Epalinges ;28,46
Ependes (VD) ;31,56
Eppenberg-Wöschnau ;27,2
Epsach ;25,5
Eptingen ;25,65
Ergisch ;22,75
Eriswil ;34,77
Eriz ;25,5
Erlach ;25,5
Erlen ;47,16
Erlen ;47,16
Erlenbach (ZH) ;26,58
Erlenbach im Simmental ;25,5
Erlinsbach (AG) ;27,2
Erlinsbach (SO) ;27,2
Ermatingen ;51,36
Ermensee ;28,85
Ernen ;21,23
Erschwil ;31,31
Ersigen ;25,5
Erstfeld ;35,09
Eschenbach (LU) ;28,85
Eschenbach (SG) ;27,32
Eschenz ;21,95
Eschert ;25,5
Eschlikon ;33,4
Escholzmatt-Marbach ;28,85
Essertines-sur-Rolle ;31,56
Essertines-sur-Yverdon ;31,56
Estavayer ;25,35
Etagnières ;32,26
Etoy ;39,93
Ettingen ;31,31
Ettiswil ;28,85
Evilard ;25,5
Evionnaz ;27,45
Evolène ;30,8
Eysins ;33,26
Fahrni ;25,5
Fahrwangen ;25,13
Fahy ;25,5
Faido ;25,53
Falera ;27,56
Fällanden ;22,95
Faoug ;26,25
Farnern ;25,5
Féchy ;39,23
Fehraltorf ;26,23
Fehren ;31,31
Felben-Wellhausen ;27,04
Feldbrunnen-St. Niklaus ;25,1
Felsberg ;28,47
Ferden ;25,73
Ferenbalm ;25,5
Ferpicloz ;25,35
Ferrera ;9,51
Ferreyres ;32,56
Fétigny ;25,35
Feuerthalen ;21,88
Feusisberg ;24,11
Feusisberg ;25,62
Fey ;31,56
Fideris ;28,06
Fiesch ;21,23
Fieschertal ;21,23
Fiez ;32,26
Finhaut ;27,45
Finsterhennen ;25,5
Fischbach ;28,85
Fischbach-Göslikon ;24,01
Fischenthal ;21,88
Fischingen ;42,23
Fischingen ;41,13
Fisibach ;25,13
Fislisbach ;25,14
Flaach ;21,88
Fläsch ;28,06
Flawil ;32,19
Flerden ;21,94
Flims ;25,21
Flüelen ;30,66
Flühli ;28,85
Flumenthal ;25,1
Flums ;31,96
Flums ;33,18
Flums ;31,89
Flurlingen ;21,88
Fontaines-sur-Grandson ;32,26
Fontenais ;25,5
Forel (Lavaux) ;31,56
Forst-Längenbühl ;25,5
Founex ;32,26
Fräschels ;25,35
Fraubrunnen ;32,39
Frauenfeld ;32,78
Frauenkappelen ;24
Freienbach ;24,11
Freienstein-Teufen ;21,88
Freienwil ;35,55
Freimettigen ;25,5
Frenkendorf ;25,65
Fribourg ;25,35
Frick ;25,13
Froideville ;32,26
Frutigen ;25,5
Full-Reuenthal ;25,13
Full-Reuenthal ;32,27
Füllinsdorf ;25,65
Fully ;28,61
Furna ;28,06
Fürstenau ;21,94
Gächlingen ;24,4
Gachnang ;32,54
Gais ;26,72
Gaiserwald ;58,76
Galgenen ;34,85
Gals ;25,5
Gambarogno ;29,24
Gampel-Bratsch ;22,75
Gampelen ;25,5
Gams ;36,33
Gansingen ;25,13
Gebenstorf ;28,29
Gelterkinden ;25,65
Geltwil ;17,86
Geltwil ;15,56
Gempen ;31,31
Genève ;24,22
Genolier ;32,26
Genthod ;24,22
Gerlafingen ;25
Geroldswil ;21,88
Gersau ;41,64
Gerzensee ;25,5
Geuensee ;28,85
Gibloux ;25,35
Giebenach ;25,65
Giez ;32,56
Giffers ;25,35
Gilly ;32,26
Gimel ;32,26
Gingins ;31,56
Giornico ;29,24
Gipf-Oberfrick ;24,61
Gisikon ;28,85
Giswil ;29,77
Givisiez ;25,35
Givrins ;31,56
Gland ;27,58
Glarus ;27,99
Glarus Nord ;32,62
Glarus Süd ;21,78
Glattfelden ;40,77
Glattfelden ;21,88
Gletterens ;25,35
Goldach ;28,9
Gollion ;32,26
Gommiswald ;27,32
Goms ;28,75
Goms ;23,21
Gondiswil ;25,5
Gonten ;26,29
Gonten ;26,72
Gontenschwil ;21,46
Gordola ;29,24
Göschenen ;12,78
Gossau (SG) ;20,98
Gossau (SG) ;34,31
Gossau (ZH) ;21,88
Gossau (ZH) ;26
Gottlieben ;25,81
Goumoëns ;31,56
Graben ;25,5
Grabs ;30,12
Grächen ;28,69
Grancia ;28,52
Grancy ;31,56
Grandcour ;26,25
Grandevent ;31,56
Grandfontaine ;25,5
Grandson ;32,56
Grandval ;25,5
Grandvillard ;25,35
Granges (Veveyse) ;25,35
Granges-Paccot ;25,35
Grangettes ;25,35
Gränichen ;28,83
Gravesano ;28,52
Greifensee ;21,88
Grellingen ;31,31
Grenchen ;33,73
Greng ;25,35
Grengiols ;28,75
Grens ;32,26
Greppen ;41,39
Gretzenbach ;28,52
Grimisuat ;30,8
Grindel ;31,31
Grindelwald ;24,48
Grindelwald ;24,76
Grolley ;25,35
Grône ;30,8
Grono ;37,26
Grono ;36,13
Grono ;29,95
Grossaffoltern ;40,81
Grossdietwil ;28,85
Grosshöchstetten ;29,26
Grosswangen ;28,85
Grub (AR) ;44,03
Grüningen ;27,98
Grüsch ;27,56
Gruyères ;25,35
Gryon ;32,99
Gryon ;32,26
Gsteig ;30,76
Gsteigwiler ;25,5
Guggisberg ;25,5
Gündlischwand ;24,76
Günsberg ;25,1
Gunzgen ;26,02
Gurbrü ;25,5
Gurmels ;25,35
Gurtnellen ;30,66
Gurzelen ;25,5
Guttannen ;25,5
Guttet-Feschel ;22,75
Güttingen ;27,79
Gy ;24,22
Habkern ;25,5
Habsburg ;24,54
Häfelfingen ;25,65
Hagenbuch ;21,88
Hägendorf ;26,02
Häggenschwil ;26,72
Häggenschwil ;28,99
Hägglingen ;25,13
Hagneck ;25,5
Hallau ;24,4
Hallwil ;25,13
Halten ;28,38
Härkingen ;27,58
Hasle (LU) ;28,85
Hasle bei Burgdorf ;25,5
Hasliberg ;24
Hauenstein-Ifenthal ;31,95
Hauptwil-Gottshaus ;34,32
Hauptwil-Gottshaus ;21,46
Hausen (AG) ;24,54
Hausen am Albis ;21,88
Haut-Intyamon ;25,35
Haute-Ajoie ;25,5
Haute-Sorne ;25,5
Hautemorges ;32,26
Hauterive (FR) ;25,35
Hauterive (NE) ;33,07
Hauteville ;25,35
Häutligen ;25,5
Hedingen ;21,88
Hefenhofen ;54,04
Hefenhofen ;45,37
Hefenhofen ;23,44
Heiden ;27,24
Heiligenschwendi ;25,5
Heimberg ;25,5
Heimenhausen ;24
Heimiswil ;25,5
Heitenried ;25,35
Hellikon ;25,13
Hellsau ;25,5
Hemberg ;26,72
Hemishofen ;24,4
Hemmiken ;25,65
Hendschiken ;25,13
Henggart ;21,88
Henniez ;32,26
Herbetswil ;31,47
Herbligen ;25,5
Herdern ;20,46
Hérémence ;30,8
Hergiswil (NW) ;19,56
Hergiswil bei Willisau ;23,98
Hergiswil bei Willisau ;33,22
Herisau ;26,72
Hermance ;24,22
Hermenches ;31,56
Hermrigen ;25,5
Herrliberg ;22,8
Hersberg ;25,65
Herznach ;25,13
Herzogenbuchsee ;31,17
Herzogenbuchsee ;24,65
Hettlingen ;21,88
Hildisrieden ;28,85
Hilterfingen ;24
Himmelried ;31,31
Hindelbank ;32,37
Hinwil ;21,88
Hirschthal ;27,2
Hittnau ;21,88
Hitzkirch ;28,85
Hochdorf ;29,68
Hochfelden ;21,88
Höchstetten ;25,5
Hochwald ;31,31
Hofstetten bei Brienz ;24
Hofstetten-Flüh ;31,31
Hohenrain ;28,85
Hohentannen ;34,62
Hohentannen ;22,54
Holderbank (AG) ;25,13
Holderbank (SO) ;22,04
Hölstein ;25,65
Holziken ;27,2
Homberg ;25,5
Hombrechtikon ;21,88
Homburg ;25,64
Honau ;28,85
Horgen ;34,49
Horgen ;21,88
Höri ;21,88
Horn ;25,16
Horrenbach-Buchen ;24
Horrenbach-Buchen ;50,76
Horw ;28,88
Hospental ;36,61
Hubersdorf ;25,1
Humlikon ;21,88
Hundwil ;26,72
Hünenberg ;30,55
Hünenberg ;29,74
Hüntwangen ;21,88
Hunzenschwil ;27,33
Hüttikon ;21,88
Hüttlingen ;24,35
Huttwil ;38,8
Hüttwilen ;20,16
Icogne ;30,8
Iffwil ;32,39
Ilanz/Glion ;27,56
Illgau ;24,96
Illnau-Effretikon ;21,88
Inden ;22,75
Ingenbohl ;41,64
Inkwil ;25,5
Innerthal ;41,31
Innertkirchen ;25,5
Ins ;33,69
Interlaken ;34,53
Inwil ;28,85
Ipsach ;25,5
Iseltwald ;25,5
Isenthal ;30,66
Isérables ;27,45
Islisberg ;18,06
Isone ;28,86
Itingen ;20,64
Itingen ;25,31
Ittigen ;25,5
Jaberg ;25,5
Jaun ;25,35
Jegenstorf ;32,39
Jenaz ;28,06
Jenins ;26,22
Jens ;25,5
Jonen ;41,63
