"","postal.code","Gemeinde"
"444",9000,"St. Gallen"
"445",9008,"St. Gallen"
"446",9011,"St. Gallen"
"447",9014,"St. Gallen"
"448",9014,"St. Gallen"
"449",9016,"St. Gallen"
"450",9055,"Bühler"
"451",9100,"Herisau"
"452",9100,"Herisau"
"453",9100,"Herisau"
"454",9100,"Herisau"
"455",9100,"Herisau"
"456",9103,"Schwellbrunn"
"457",9103,"Schwellbrunn"
"458",9113,"Degersheim"
"459",9127,"St. Silvester"
"460",9230,"Flawil"
"461",9240,"Uzwil"
"462",9240,"Niederglatt"
"463",9244,"Uzwil"
"464",9320,"Arbon"
"465",9320,"Arbon"
"466",9400,"Rorschach"
"467",9424,"Rheineck"
"468",9430,"St. Margrethen SG"
"469",9435,"Au (SG)"
"470",9442,"Berneck"
"471",9442,"Berneck"
"472",9442,"Berneck"
"473",9444,"Diepoldsau"
"474",9450,"Altstätten"
"475",9450,"Altstätten"
"476",9451,"Oberriet"
"477",9452,"Eichberg"
"478",9469,"Sennwald"
"479",9470,"Buchs (SG)"
"480",9470,"Buchs (SG)"
"481",9470,"Buchs (SG)"
"482",9507,"Stettfurt"
"483",9514,"Wuppenau"
"484",9526,"Niederhelfenschwil "
"485",9532,"Rickenbach"
"486",9532,"Rickenbach (TG) "
"487",9533,"Kirchberg (SG)"
"488",9535,"Wilen (TG) "
"489",9542,"Münchwilen (TG)"
"490",9552,"Wil (SG) "
"491",9630,"Wattwil"
