"","m","impact.wave1","events.wave1","ee_concerns.wave1","country","impact.wave2","energy_price","percent_energy","gas_price","percent_gas","ee_concerns.wave2","events.wave2","n","ee_concerns.diff","impact.diff"
"491",229321437509656,3,8,4,"Switzerland",3,2,10,2,10,3,892210,1,1,0
"492",229321437514789,3,348,1,"Switzerland",2,2,75,4,20,6,4822,1,-5,1
"493",229321437515815,2,489,6,"Switzerland",3,2,40,2,6,6,48922,1,0,-1
"494",229321437541463,2,1,2,"Switzerland",2,2,20,2,20,1,34,1,1,0
"495",229321437542488,2,11,5,"Switzerland",3,3,NA,2,10,5,810,1,0,-1
"496",229321437546594,4,349,5,"Switzerland",3,2,20,2,15,5,3489,1,0,1
"497",229321437547620,3,11,1,"Switzerland",3,3,NA,3,NA,1,11,1,0,0
"498",229321437554799,3,11,3,"Switzerland",3,4,1.5,4,2,4,4,1,-1,0
"499",229321437563003,5,26,5,"Germany",2,2,5,2,10,5,36,1,0,3
"500",229321437575305,3,8,3,"Switzerland",3,3,NA,3,NA,6,8,1,-3,0
"501",229321437583507,3,34,4,"Switzerland",3,2,30,2,50,4,49,1,0,0
"502",229321437584534,4,1,6,"Switzerland",6,3,NA,2,7,1,8,1,5,-2
"503",229321437593760,1,568,5,"Switzerland",4,2,18,2,20,6,22,1,-1,-3
"504",229321437639901,2,8,5,"Switzerland",3,4,10,4,10,4,22,1,1,-1
"505",229321437668352,4,3,4,"Switzerland",4,2,70,3,NA,6,11,1,-2,0
"506",229321437670402,3,348,4,"Switzerland",4,2,10,4,5,3,4822,1,1,-1
"507",229321437677579,1,4,6,"Switzerland",1,2,100,2,100,6,48,1,0,0
"508",229321437681681,4,346,5,"Switzerland",5,2,25,2,15,3,348,1,2,-1
"509",229321437693984,3,11,5,"Switzerland",3,2,20,3,NA,5,4822,1,0,0
"510",229321437701161,6,11,6,"Switzerland",1,2,12,2,25,6,11,1,0,5
"511",229321437702186,3,48,5,"Switzerland",3,3,NA,3,NA,4,48,1,1,0
"512",229321437719617,3,3468,5,"Switzerland",3,2,2,2,5,4,34,1,1,0
"513",229321437737054,3,4,4,"Switzerland",3,2,8,3,NA,4,8,1,0,0
"514",229321437739104,3,48,4,"Switzerland",4,2,30,4,10,4,48,1,0,-1
"515",229321437752435,4,4,4,"Switzerland",3,3,NA,2,5,4,4,1,0,1
"516",229321437755510,2,89,5,"Switzerland",2,2,25,2,15,5,4,1,0,0
"517",229321437758588,4,5,4,"Switzerland",4,2,33,2,25,3,345,1,1,0
"518",229321437762688,4,11,4,"Switzerland",3,2,20,2,13,4,8,1,0,1
"519",229321437763714,4,4,5,"Switzerland",3,2,80,2,50,5,4922,1,0,1
"520",229321437768842,4,8910,5,"Switzerland",4,2,10,3,NA,5,482210,1,0,0
"521",229321437798583,1,4,6,"Switzerland",1,2,12,2,12,6,4,1,0,0
"522",229321437839597,3,8,4,"Switzerland",3,2,30,2,30,5,48922,1,-1,0
"523",229321437858830,4,4,3,"Switzerland",3,3,NA,2,10,3,8,1,0,1
"524",229321437877282,3,34,4,"Switzerland",4,2,20,3,NA,3,3,1,1,-1
"525",229321437898807,1,4,6,"Switzerland",1,4,2,3,NA,6,48922,1,0,0
"526",229321437909061,3,4,3,"Switzerland",4,2,10,3,NA,4,35,1,-1,-1
"527",229321437918290,3,38,6,"Switzerland",5,3,NA,4,23,5,4,1,1,-2
"528",229321437921368,5,23,3,"Switzerland",4,2,5,2,10,3,38,1,0,1
"529",229321437924445,4,349,4,"Switzerland",5,2,4,2,5,4,39,1,0,-1
"530",229321437924448,3,348,2,"Switzerland",3,3,NA,2,20,2,822,1,0,0
"531",229321437941882,3,348,5,"Switzerland",3,2,3,2,3,5,34,1,0,0
"532",229321437993153,4,8,4,"Switzerland",3,2,7,3,NA,4,822,1,0,1
"533",229321437994179,2,48,6,"Switzerland",2,2,10,2,5,6,348,1,0,0
"534",229321438035199,5,48,5,"Switzerland",3,2,15,2,15,5,8,1,0,2
"535",229321438062642,3,11,5,"Switzerland",4,2,10,2,15,5,6922,1,0,-1
"536",229321438072898,4,3456,4,"Switzerland",4,2,6,2,5,4,48,1,0,0
"537",229321438075977,3,1346,5,"Switzerland",4,2,25,2,20,4,36,1,1,-1
"538",229321438092389,4,34,4,"Switzerland",4,2,10,2,10,4,4,1,0,0
"539",229321438098546,4,348,2,"Switzerland",3,2,20,2,15,3,48,1,-1,1
"540",229321438104706,4,489,6,"Switzerland",4,2,5,2,8,5,22,1,1,0
"541",229321438117027,2,24,3,"Switzerland",3,2,28,2,20,3,46,1,0,-1
"542",229321438125234,3,4,4,"Switzerland",3,2,5,2,10,4,348,1,0,0
"543",229321438136512,1,348,6,"Switzerland",2,3,NA,4,1,6,3482210,1,0,-1
"544",229321438155991,3,34,4,"Switzerland",1,2,30,2,50,6,11,1,-2,2
"545",229321438159066,4,148,2,"Switzerland",3,2,4,3,NA,4,4822,1,-2,1
"546",229321438161117,3,48,4,"Switzerland",3,2,3,2,4,4,34822,1,0,0
"547",229321438164192,3,8,4,"Switzerland",3,3,NA,3,NA,2,18,1,2,0
"548",229321438195740,5,34,4,"Switzerland",5,2,33,2,57,2,8,1,2,0
"549",229321438210114,3,46,5,"Switzerland",3,2,20,2,10,5,34622,1,0,0
"550",229321438222424,4,34,4,"Switzerland",1,2,12,2,7,6,34,1,-2,3
"551",229321438238833,3,6,5,"Switzerland",2,3,NA,3,NA,4,46,1,1,1
"552",229321438243967,1,13410,5,"Switzerland",1,2,10,3,NA,6,134822,1,-1,0
"553",229321438246018,2,6,6,"Switzerland",3,2,10,2,8,5,22,1,1,-1
"554",229321438287057,2,348,6,"Switzerland",3,2,22,2,30,6,48,1,0,-1
"555",229321438289110,3,9,5,"Switzerland",4,2,5,2,10,6,22,1,-1,-1
"556",229321438291162,4,4,6,"Switzerland",3,2,30,2,40,5,4568,1,1,1
"557",229321438291163,1,134,6,"Switzerland",3,2,5,2,10,6,8,1,0,-2
"558",229321438308354,3,4,5,"Switzerland",2,2,10,2,15,6,14,1,-1,1
"559",229321438308355,2,11,5,"Switzerland",3,2,10,2,10,3,11,1,2,-1
"560",229321438312457,3,3468,4,"Switzerland",4,2,15,2,30,4,35,1,0,-1
"561",229321438315541,2,8,4,"Switzerland",3,2,8,2,7,5,39,1,-1,-1
"562",229321438330936,3,389,4,"Switzerland",3,3,NA,2,5,3,38922,1,1,0
"563",229321438343251,3,48,4,"Switzerland",3,2,5,2,15,3,48,1,1,0
"564",229321438357604,5,3489,6,"Switzerland",4,2,26,2,28,6,348922,1,0,1
"565",229321438363760,3,3456810,4,"Switzerland",3,2,5,3,NA,5,34822,1,-1,0
"566",229321438376071,3,345689,5,"Switzerland",4,3,NA,3,NA,6,2822,1,-1,-1
"567",229321438387356,3,345689,2,"Switzerland",3,2,6,2,5,4,34,1,-2,0
"568",229321438399669,5,2,5,"Switzerland",6,2,10,2,20,5,89,1,0,-1
"569",229321438413008,3,4,6,"Switzerland",3,3,NA,3,NA,3,3,1,3,0
"570",229409893551190,2,48,6,"Germany",2,2,30,2,60,6,20214,1,0,0
"571",229409893551191,3,4,5,"Germany",3,3,NA,3,NA,5,2021,1,0,0
"572",229409893551197,2,48,5,"Germany",5,3,NA,4,20,5,20214822,1,0,-3
"573",229409893551200,3,34,6,"Germany",2,2,8,2,8,3,34822,1,3,1
"574",229409893551202,4,8,2,"Germany",3,2,10,3,NA,2,20214,1,0,1
"575",229409893552235,3,48,4,"Germany",3,2,20,2,30,3,204,1,1,0
"576",229409893552237,3,11,5,"Germany",3,4,10,4,10,4,11,1,1,0
"577",229409893552239,3,348,6,"Germany",3,3,NA,4,70,6,348,1,0,0
"578",229409893553280,4,11,4,"Germany",3,2,30,2,25,4,320214,1,0,1
"579",229409893553285,4,4,4,"Germany",3,2,30,2,40,2,20214,1,2,1
"580",229409893554317,2,3489,4,"Germany",2,2,5,2,2,6,34,1,-2,0
"581",229409893554327,4,4,4,"Germany",4,2,10,4,20,2,4,1,2,0
"582",229409893554332,3,348,4,"Germany",3,4,5,3,NA,3,3489,1,1,0
"583",229409893555364,3,34,1,"Germany",3,3,NA,2,5,2,320214,1,-1,0
"584",229409893555368,3,3489,3,"Germany",4,3,NA,4,10,6,348922,1,-3,-1
"585",229409893555379,3,34,5,"Germany",3,4,25,4,13,4,32021489,1,1,0
"586",229409893556406,3,348,6,"Germany",2,2,30,2,30,6,320214822,1,0,1
"587",229409893556407,3,3489,4,"Germany",4,4,2,3,NA,3,20214,1,1,-1
"588",229409893556409,3,348,4,"Germany",2,2,50,2,30,6,320214822,1,-2,1
"589",229409893556412,4,34,2,"Germany",4,3,NA,3,NA,2,11,1,0,0
"590",229409893556414,3,3489,5,"Germany",3,3,NA,4,20,4,32021489,1,1,0
"591",229409893556415,2,348,5,"Germany",3,2,10,2,15,5,48,1,0,-1
"592",229409893557466,3,18,6,"Germany",2,3,NA,3,NA,4,22,1,2,1
"593",229409893558495,3,48,4,"Germany",3,2,75,3,NA,4,2048,1,0,0
"594",229409893558497,3,489,6,"Germany",3,2,80,2,60,6,20214822,1,0,0
"595",229409893558499,1,349,6,"Germany",1,2,15,2,25,6,3202148,1,0,0
"596",229409893558502,4,348,5,"Germany",4,4,20,4,20,1,20218,1,4,0
"597",229409893558508,3,4,6,"Germany",3,2,8,3,NA,6,4,1,0,0
"598",229409893558511,3,49,5,"Germany",3,4,100,4,100,5,4,1,0,0
"599",229409893559298,2,48,6,"Germany",2,2,10,4,5,6,202148,1,0,0
"600",229409893559543,4,1,4,"Germany",3,3,NA,3,NA,2,389,1,2,1
"601",229409893559548,3,34,4,"Germany",3,4,10,3,NA,3,3202148,1,1,0
"602",229409893560326,3,25,5,"Germany",3,2,40,2,25,5,36,1,0,0
"603",229409893560330,3,34,5,"Germany",3,2,10,2,10,6,3204822,1,-1,0
"604",229409893560343,1,34,5,"Germany",2,2,30,2,20,6,34,1,-1,-1
"605",229409893561373,2,34,6,"Germany",3,3,NA,2,20,6,32021422,1,0,-1
"606",229409893561379,2,48,6,"Germany",2,2,8,2,12,6,2048,1,0,0
"607",229409893561380,6,469,5,"Germany",6,3,NA,3,NA,5,13,1,0,0
"608",229409893561381,3,34,5,"Germany",3,2,30,2,70,5,320214,1,0,0
"609",229409893562421,1,38,6,"Germany",1,2,20,2,39,6,32021422,1,0,0
"610",229409893562422,3,8,3,"Germany",3,4,10,4,10,1,21822,1,2,0
"611",229409893563457,2,4,6,"Germany",2,4,8,3,NA,6,11,1,0,0
"612",229409893563459,3,134,4,"Germany",4,3,NA,2,20,5,11,1,-1,-1
"613",229409893563467,2,348,6,"Germany",3,3,NA,2,30,4,48,1,2,-1
"614",229409893563468,3,11,4,"Germany",3,3,NA,3,NA,4,11,1,0,0
"615",229409893563472,3,11,2,"Germany",4,2,8,4,10,2,11,1,0,-1
"616",229409893565554,3,349,4,"Germany",4,2,10,3,NA,4,3204,1,0,-1
"617",229409893565555,3,1348,5,"Germany",3,3,NA,3,NA,5,13214822,1,0,0
"618",229409893566597,3,348,3,"Germany",3,2,25,2,40,3,13214822,1,0,0
"619",229409893566606,3,10,6,"Germany",4,3,NA,4,0,6,2021410,1,0,-1
"620",229409893567636,3,3489,6,"Germany",3,4,8,4,10,6,320214822,1,0,0
"621",229409893567644,4,3456,5,"Germany",3,2,20,2,15,5,3422,1,0,1
"622",229409893567652,2,348,5,"Germany",2,2,70,2,100,5,320214,1,0,0
"623",229409893567654,3,4,1,"Germany",3,2,20,2,15,4,4,1,-3,0
"624",229409893568680,4,4,3,"Germany",4,2,20,2,25,2,4,1,1,0
"625",229409893568695,3,348,6,"Germany",3,2,30,2,60,4,2148922,1,2,0
"626",229409893569726,3,89,3,"Germany",3,2,25,2,25,3,34,1,0,0
"627",229409893570762,4,348,5,"Germany",4,2,25,2,30,4,21,1,1,0
"628",229409893570765,3,36,6,"Germany",3,2,25,2,25,5,32048,1,1,0
"629",229409893570768,1,34,6,"Germany",1,2,50,2,50,6,134,1,0,0
"630",229409893570773,3,34,6,"Germany",4,2,12,2,25,6,32021422,1,0,-1
"631",229409893571803,3,34,4,"Germany",2,2,60,2,60,6,32021489,1,-2,1
"632",229409893571805,3,3489,6,"Germany",3,4,8,4,7.9,6,349,1,0,0
"633",229409893571809,4,38,4,"Germany",4,3,NA,3,NA,4,21,1,0,0
"634",229409893571812,2,34,5,"Germany",2,3,NA,3,NA,6,32021489,1,-1,0
"635",229409893572842,2,4,1,"Germany",2,2,60,2,60,1,2021422,1,0,0
"636",229409893572855,4,348,5,"Germany",3,2,20,2,15,5,320214822,1,0,1
"637",229409893573634,4,11,5,"Germany",3,2,40,2,40,5,34,1,0,1
"638",229409893573885,1,11,6,"Germany",1,2,20,2,10,6,422,1,0,0
"639",229409893573887,3,8,5,"Germany",3,2,30,2,30,6,4,1,-1,0
"640",229409893574672,3,348,6,"Germany",3,2,100,2,100,6,3204822,1,0,0
"641",229409893574678,2,348,6,"Germany",2,2,50,2,50,5,32148,1,1,0
"642",229409893574680,3,3,3,"Germany",3,3,NA,3,NA,3,49,1,0,0
"643",229409893574681,2,349,6,"Germany",1,4,20,4,30,6,3202148,1,0,1
"644",229409893574684,3,38,3,"Germany",3,2,25,3,NA,3,202148,1,0,0
"645",229409893575711,4,4,5,"Germany",3,2,25,2,20,6,8,1,-1,1
"646",229409893575713,3,348,6,"Germany",3,2,20,2,20,5,9,1,1,0
"647",229409893575717,4,11,4,"Germany",5,4,5,3,NA,1,11,1,3,-1
"648",229409893576757,3,489,5,"Germany",2,2,15,2,20,6,2149,1,-1,1
"649",229409893576768,3,4,4,"Germany",3,3,NA,4,50,2,4,1,2,0
"650",229409893577796,2,349,6,"Germany",1,2,4,2,3,6,320214822,1,0,1
"651",229409893578856,2,34,5,"Germany",2,2,15,2,20,4,320489,1,1,0
"652",229409893578858,1,4,6,"Germany",1,2,100,2,100,6,11,1,0,0
"653",229409893579884,3,348,5,"Germany",3,2,100,2,100,3,32148,1,2,0
"654",229409893579886,3,3489,5,"Germany",3,3,NA,3,NA,5,34822,1,0,0
"655",229409893579891,3,34,3,"Germany",3,2,15,2,15,3,34,1,0,0
"656",229409893579895,3,349,6,"Germany",3,4,30,4,20,6,320214822,1,0,0
"657",229409893579901,3,39,6,"Germany",2,2,15,2,10,6,3202148922,1,0,1
"658",229409893580933,4,48,4,"Germany",3,2,5,3,NA,2,22,1,2,1
"659",229409893580935,5,8,5,"Germany",4,3,NA,2,15,2,202122,1,3,1
"660",229409893580937,3,4,4,"Germany",3,2,50,2,50,5,422,1,-1,0
"661",229409893580943,2,34,4,"Germany",3,2,50,2,35,5,320214,1,-1,-1
"662",229409893580944,4,8,6,"Germany",3,2,20,2,30,5,320214,1,1,1
"663",229409893581983,1,34,6,"Germany",2,2,100,2,50,6,34,1,0,-1
"664",229409893581988,3,49,5,"Germany",3,2,100,2,80,5,2048922,1,0,0
"665",229409893583024,3,3489,4,"Germany",3,3,NA,3,NA,3,320214822,1,1,0
"666",229409893583029,2,348,6,"Germany",3,2,15,3,NA,6,422,1,0,-1
"667",229409893584063,1,1234,6,"Germany",2,3,NA,3,NA,6,489,1,0,-1
"668",229409893584066,3,48,5,"Germany",3,3,NA,3,NA,4,4822,1,1,0
"669",229409893585116,2,34,5,"Germany",3,2,25,2,40,4,208922,1,1,-1
"670",229409893586946,3,34,3,"Germany",4,2,30,2,40,1,34,1,2,-1
"671",229409893587191,3,348,4,"Germany",3,2,50,2,50,5,320214,1,-1,0
"672",229409893587194,4,34,4,"Germany",4,2,100,2,100,6,32148,1,-2,0
"673",229409893587973,3,4,4,"Germany",3,2,50,2,50,5,4,1,-1,0
"674",229409893587987,3,8,3,"Germany",4,2,7,3,NA,4,11,1,-1,-1
"675",229409893589020,2,489,6,"Germany",2,2,5,2,10,6,202148922,1,0,0
"676",229409893589022,1,123456,6,"Germany",1,2,45,2,45,6,3,1,0,0
"677",229409893589023,3,48,6,"Germany",3,3,NA,3,NA,4,3214892210,1,2,0
"678",229409893589029,3,11,5,"Germany",3,2,10,2,15,4,11,1,1,0
"679",229409893590059,3,49,6,"Germany",3,3,NA,2,80,5,20492210,1,1,0
"680",229409893590061,3,11,3,"Germany",3,3,NA,3,NA,3,11,1,0,0
"681",229409893590068,2,34,4,"Germany",3,3,NA,3,NA,4,320214,1,0,-1
"682",229409893590069,3,489,4,"Germany",3,2,15,3,NA,3,2148922,1,1,0
"683",229409893592158,3,4,5,"Germany",3,3,NA,4,10,6,48,1,-1,0
"684",229409893594229,2,123456,6,"Germany",3,3,NA,2,15,6,320214922,1,0,-1
"685",229409893596306,1,34,6,"Germany",1,2,50,2,50,6,321,1,0,0
"686",229409893597348,2,348,6,"Germany",2,2,30,2,20,5,4822,1,1,0
"687",229409893597357,1,34,6,"Germany",1,2,10,3,NA,6,11,1,0,0
